max_v_up,mean_v_up,min_v_up,max_v_dn,mean_v_dn,min_v_dn,max_v_dup,mean_v_dup,min_v_dup,max_v_ddn,mean_v_ddn,min_v_ddn,max_v_aup,mean_v_aup,min_v_aup,max_v_adn,mean_v_adn,min_v_adn,max_i_up,mean_i_up,min_i_up,max_i_dn,mean_i_dn,min_i_dn,max_i_dup,mean_i_dup,min_i_dup,max_i_ddn,mean_i_ddn,min_i_ddn,max_i_aup,mean_i_aup,min_i_aup,max_i_adn,mean_i_adn,min_i_adn,max_r_up,mean_r_up,min_r_up,max_r_dn,mean_r_dn,min_r_dn,max_r_dup,mean_r_dup,min_r_dup,max_r_ddn,mean_r_ddn,min_r_ddn,max_r_aup,mean_r_aup,min_r_aup,max_r_adn,mean_r_adn,min_r_adn,f_name,line_index,freq_index,RF
0.0039033,0.001961629,0.00048986,0.007641252,0.002398286,0.000235709,0.003599166,0.001622578,0.000252903,0.009435054,0.002917907,0.000281747,0.176501872,0.057819421,0.010145809,0.176501872,0.057819421,0.010145809,0.159869917,0.045007972,0.002771833,0.119340083,0.032634885,0.00233975,0.27302,0.058928571,0.0026,0.19439,0.031041429,0.00187,5.105575667,1.077574317,0.050355333,5.105575667,1.077574317,0.050355333,0.017486333,0.012855937,0.005675833,0.052823667,0.032155968,0.013064167,0.02252,0.016118571,0.00523,0.05452,0.03262381,0.01508,0.349926,0.270931468,0.155953333,0.349926,0.270931468,0.155953333,m=10_day=20_h=0_mins=22.pickle,1628,1643,0
0.004532431,0.002158623,0.000515189,0.006436346,0.002146359,0.000275934,0.003439575,0.001628017,0.00047784,0.009147856,0.003085974,0.000494595,0.218272571,0.071772313,0.011042714,0.218272571,0.071772313,0.011042714,0.177320333,0.041971179,0.002109583,0.167719667,0.033699298,0.00243325,0.33694,0.050061429,0.00265,0.23731,0.03954381,0,5.527657333,0.990855409,0.055794583,5.527657333,0.990855409,0.055794583,0.017976583,0.012958921,0.008013833,0.04638075,0.029366794,0.01284875,0.02424,0.015009048,0.00645,0.04576,0.030392381,0.01571,0.32835575,0.262783563,0.1511225,0.32835575,0.262783563,0.1511225,m=10_day=20_h=0_mins=3.pickle,3859,3887,0
0.007026572,0.0018523,0.000510138,0.013900341,0.00308665,0.000373434,0.002989034,0.001006806,0,0.018587828,0.004238989,0.000639629,0.412205227,0.08948652,0.01181843,0.412205227,0.08948652,0.01181843,0.213344167,0.06327246,0.002200917,0.181562833,0.050300397,0.002509083,0.35294,0.082018095,0.00293,0.22476,0.032960952,0,6.5382925,1.920456012,0.049055917,6.5382925,1.920456012,0.049055917,0.0129555,0.007256667,0.0048545,0.011086083,0.007453333,0.004727167,0.01791,0.01071619,0.00575,0.01068,0.005821429,0.00254,0.208389,0.127952563,0.082161083,0.208389,0.127952563,0.082161083,m=10_day=20_h=0_mins=51.pickle,2799,5957,0
0.003976234,0.002048596,0.000520786,0.007980272,0.0025373,0.000223713,0.004098366,0.002019776,0.000556391,0.009177094,0.002851734,0.000150171,0.129257216,0.047695237,0.007941446,0.129257216,0.047695237,0.007941446,0.140712583,0.047429567,0.0024035,0.137497417,0.033865194,0.002320333,0.2597,0.055247143,0,0.11718,0.033127143,0,4.955040167,1.142970885,0.048761,4.955040167,1.142970885,0.048761,0.015063833,0.009372984,0.0061575,0.040766167,0.02707273,0.014181917,0.01798,0.010064286,0.00272,0.0401,0.026541905,0.01873,0.2762345,0.225474952,0.1818935,0.2762345,0.225474952,0.1818935,m=10_day=20_h=12_mins=2.pickle,4216,4226,0
0.004230062,0.001161407,0.000275003,0.00822925,0.001694059,0.000143857,0.002028908,0.000832385,0.000197505,0.010489805,0.002098399,1.83E-05,0.221963669,0.045135801,0.004882157,0.221963669,0.045135801,0.004882157,0.154983667,0.032060405,0.002143083,0.107166333,0.0302315,0.002281167,0.24261,0.041999048,0,0.20519,0.028805714,0,4.816800667,0.952951587,0.052272583,4.816800667,0.952951587,0.052272583,0.027156083,0.01381777,0.006563833,0.027703917,0.014610325,0.008060917,0.02449,0.012575714,0.00624,0.0356,0.019251429,0.01138,0.393896333,0.239828964,0.1464305,0.393896333,0.239828964,0.1464305,m=10_day=20_h=13_mins=28.pickle,4949,2093,0
0.003301693,0.000682354,0.000156191,0.009312812,0.001378226,0.000235296,0.000637644,0.000217806,0,0.012105885,0.001756866,0.000251736,0.241327756,0.035966439,0.004775524,0.241327756,0.035966439,0.004775524,0.10335525,0.028086321,0.002215,0.062975583,0.026021298,0.002905,0.12321,0.038360952,0,0.08319,0.018334762,0,2.794634083,0.953037659,0.05369,2.794634083,0.953037659,0.05369,0.014129083,0.007638528,0.003089417,0.037862917,0.018387663,0.009114833,0.01243,0.007322857,0.00421,0.03512,0.016940476,0.01086,0.308165417,0.16749402,0.0978685,0.308165417,0.16749402,0.0978685,m=10_day=20_h=13_mins=4.pickle,2959,1332,0
0.009683845,0.002477889,0.00034984,0.003048166,0.001194551,0.000351374,0.012407628,0.003215771,0.000437653,0.000816774,0.000492683,0,0.235714108,0.060869465,0.007303678,0.235714108,0.060869465,0.007303678,0.197621167,0.047577651,0.00252975,0.2024885,0.059599016,0.00279025,0.11444,0.020371429,0,0.33133,0.08466619,0,6.791270667,1.939105397,0.05312475,6.791270667,1.939105397,0.05312475,0.03560825,0.015043333,0.00804,0.03577175,0.018367143,0.009900833,0.03881,0.020168571,0.01122,0.03132,0.015545238,0.0079,0.55939925,0.279799484,0.172301667,0.55939925,0.279799484,0.172301667,m=10_day=20_h=14_mins=22.pickle,2723,3007,0
0.000772204,0.000295738,0.00012299,0.009115328,0.001381777,0.000183958,0.000804456,0.000385033,0.000186451,0.00956864,0.001381355,0.000118583,0.044556233,0.011441832,0.003817021,0.044556233,0.011441832,0.003817021,0.079640333,0.03160277,0.0028335,0.122019667,0.023569135,0.002605083,0.05679,0.017450952,0,0.14135,0.026502857,0.00022,2.322602333,0.631210238,0.0560425,2.322602333,0.631210238,0.0560425,0.0094385,0.006428913,0.00432225,0.01233525,0.006234421,0.003745417,0.00896,0.005316667,0.00356,0.01112,0.007248571,0.00478,0.185581,0.102913099,0.0740075,0.185581,0.102913099,0.0740075,m=10_day=20_h=14_mins=50.pickle,2250,1234,0
0.000867206,0.000349689,0.00015848,0.009483866,0.001382482,0.000208775,0.000331213,0.000137128,0,0.010269737,0.001513637,0.000214841,0.056625486,0.012641545,0.003106997,0.056625486,0.012641545,0.003106997,0.197786167,0.029273714,0.002358833,0.101713833,0.025889619,0.001745333,0.28804,0.035258095,0,0.09285,0.016808095,0,3.654686167,0.796124175,0.05697875,3.654686167,0.796124175,0.05697875,0.009830833,0.007035655,0.005045083,0.010269167,0.006536726,0.004204083,0.01421,0.009991905,0.00731,0.01166,0.005684286,0.00332,0.1804575,0.132909802,0.108632833,0.1804575,0.132909802,0.108632833,m=10_day=20_h=14_mins=56.pickle,6247,1195,0
0.001933796,0.00083955,0.000337483,0.016765864,0.00246766,0.000385412,0.001597855,0.001172834,0.000784575,0.017582857,0.002088762,0,0.113095052,0.030243783,0.010550577,0.113095052,0.030243783,0.010550577,0.232677,0.046830821,0.002602583,0.183343,0.046952512,0.002762583,0.19157,0.025656667,0,0.19936,0.057808571,0.00299,3.912099,1.315288448,0.048245,3.912099,1.315288448,0.048245,0.104543917,0.028607492,0.008420333,0.124116083,0.030868222,0.0097505,0.10012,0.028928095,0.00652,0.12162,0.035770476,0.01625,0.93342375,0.368464655,0.172616,0.93342375,0.368464655,0.172616,m=10_day=20_h=15_mins=13.pickle,4779,4667,0
